DIVIPO,NIT,ORGANISMO,CATEGORIA,CIUDAD,DEPARTAMENTO,ESTADO
25269000,89999932811,FACATATIVA-CUNDINAMARCA (MCPAL) MCPAL,A,FACATATIVA,Cundinamarca,ACTIVO
18001000,80009572821,FLORENCIA-CAQUETA (MCPAL) MCPAL,A,FLORENCIA,Caqueta,ACTIVO
68276000,80011517181,FLORIDABLANCA-SANTANDER (MCPAL) MCPAL,A,FLORIDABLANCA,Santander,ACTIVO
76275000,80020710321,FLORIDA-VALLE (MCPAL) MCPAL,A,FLORIDA,Valle del Cauca,ACTIVO
73283000,80010005631,FRESNO-TOLIMA (MCPAL) MCPAL,A,FRESNO,Tolima,ACTIVO
5284000,89098370681,FRONTINO-ANTIOQUIA (MCPAL) MCPAL,A,FRONTINO,Antioquia,ACTIVO
47288000,81900570331,FUNDACION-MAGDALENA (MCPAL) MCPAL,A,FUNDACION,Magdalena,ACTIVO
25286000,,FUNZA -CUNDINAMARCA (MCPAL) MCPAL,A,FUNZA,Cundinamarca,ACTIVO
25290000,89068000841,FUSAGASUGA-CUNDINAMARCA (MCPAL) MCPAL,A,FUSAGASUGA,Cundinamarca,ACTIVO
8296000,89010247201,GALAPA-ATLANTICO (MCPAL ) MCPAL,A,GALAPA,Atlantico,ACTIVO
15299000,,GARAGOA -BOYACA (MCPAL) MCPAL,A,GARAGOA,Boyaca,ACTIVO
41298000,89118002261,GARZON-HUILA (MCPAL) MCPAL,A,GARZON,Huila,ACTIVO
5308000,89098080711,GIRARDOTA-ANTIOQUIA (MCPAL) MCPAL,A,GIRARDOTA,Antioquia,ACTIVO
25307000,80017268541,GIRARDOT-CUNDINAMARCA (MCPAL) MCPAL,A,GIRARDOT,Cundinamarca,ACTIVO
68307000,89020480261,GIRON-SANTANDER (MCPAL) MCPAL,A,GIRON,Santander,ACTIVO
50313000,89209924351,GRANADA-META (MCPAL) MCPAL,A,GRANADA,Meta,ACTIVO
76318000,,GUACARI-VALLE (MCPAL) MCPAL,A,GUACARI,Valle del Cauca,ACTIVO
52317001,80011497331,GUACHUCAL-NARIÑO (DPTAL) DPTAL,A,GUACHUCAL,Narino,ACTIVO
