CIUDAD,DEPARTAMENTO,LAT,LNG
GUADALAJARA DE BUGA,Valle del Cauca,3.9000578,-76.302013
JAMUNDI,Valle del Cauca,3.2618357,-76.5407975
LA UNION,Valle del Cauca,4.5373411,-76.104472
PALMIRA,Valle del Cauca,3.5308373,-76.2988048
PRADERA,Valle del Cauca,3.4196687,-76.2424378
ROLDANILLO,Valle del Cauca,4.4091166,-76.1543744
SEVILLA,Valle del Cauca,4.2645071,-75.934396
TULUA,Valle del Cauca,4.0856667,-76.1972779
YUMBO,Valle del Cauca,3.5834664,-76.4952223
ZARZAL,Valle del Cauca,4.393943,-76.0706472
